activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brics_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,district_id
4,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,DROUGHT,Borehole drilling and equipping,1,286,181000,2,f,f,t,t,t,f,f,f,2801
50,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2801
50,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2801
50,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,f,f,f,f,f,2801
33,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Distribution of farm inputs,4,100,16000,4,f,f,t,f,t,f,t,t,2606
33,GEDO,LUUQ,AL-CADAALA (Only),NRC,DROUGHT,Distribution of farm inputs,4,50,8000,4,f,f,t,f,t,f,t,t,2606
33,GEDO,BELET XAAWO,MALKARIYEY,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,50,50,4000,4,f,f,f,t,f,f,t,f,2603
33,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,50,50,4000,4,f,f,f,t,f,f,t,f,2603
33,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Establish fodder production system,1,50,500,4,f,f,f,t,f,f,f,f,2603
35,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2603
35,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Provide alternative cooking technology / Fuel efficient stoves,194,194,7500,3,f,f,f,f,f,t,f,f,2603
35,GEDO,LUUQ,JAZEERA (ALL),NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2606
35,GEDO,LUUQ,AL-CADAALA (Only),NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2606
35,GEDO,CEEL WAAQ,TUULA CADEY,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2604
35,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2801
14,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,CROCKODILE ATTACK,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,450,15000,4,f,t,f,f,f,f,f,f,2308
17,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DISEASE,Community water source quality testing & treatment,1,450,630,2,f,t,f,t,f,t,t,t,2308
17,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DISEASE,Community water source quality testing & treatment,1,214,630,2,f,t,f,t,f,t,t,t,2308
35,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
35,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
5,GEDO,DOOLOW,GEEDWEINE,NRC,FLOOD,Construction of latrines         ,30,30,22500,2,f,f,t,t,f,f,f,f,2605
15,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,f,f,
5,GEDO,DOOLOW,SUR-GUDUD,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2605
5,GEDO,DOOLOW,QANSAXLEY,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2605
3,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,701,1680,2,f,t,t,t,t,t,t,t,2302
3,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,1443,1680,2,f,t,t,t,t,t,t,t,2302
3,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,512,1680,2,f,t,t,t,t,t,t,t,2302
14,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Digging of rubbish pits through Cash for Work activities.,14 individuals,14,1960,4,f,f,f,t,f,f,f,f,1803
35,GEDO,DOOLOW,SUR-GUDUD,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2605
35,GEDO,DOOLOW,QANSAXLEY,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2605
14,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HEAVY RAINS,Create system of drainage in slum areas,1,50,7500,4,f,f,f,f,t,f,f,f,2205
14,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HEAVY RAINS,Create system of drainage in slum areas,1,50,7500,4,f,f,f,f,t,f,f,f,2208
14,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Cash for work for creation of access road(s) to allow fire and market access,1,50,7500,4,f,f,f,t,f,f,f,f,2205
14,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Cash for work for creation of access road(s) to allow fire and market access,1,50,7500,4,f,f,f,t,f,f,f,f,2208
15,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Urban business training; grants and market development,3,90,39538,4,f,f,f,f,t,t,t,t,2208
15,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,CONFLICT,Provision of Micro finance grants to women self-help groups(Revolving funds),2,14,12000,4,f,f,f,t,f,t,f,f,2212
15,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,Cash grant for Income Generating Activities (IGA),1,50,35000,4,f,f,f,t,t,f,f,f,
17,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DISEASE,Community water source quality testing & treatment,1,329,630,2,f,t,f,t,f,t,t,t,2308
17,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DISEASE,Community water source quality testing & treatment,1,150,630,2,f,t,f,t,f,t,t,t,2308
15,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,f,f,2201
15,BANADIR,BANADIR,HALANE,NRC,FLOOD,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,f,f,
15,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,f,f,2201
15,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Micro finance grants to women self-help groups(Revolving funds),2,14,12000,4,f,f,f,t,f,t,f,f,2216
15,BANADIR,DEYNILE,KUR DAMAC,SCI,DROUGHT,Cash grant for Income Generating Activities (IGA) ,1,50,35000,4,f,f,f,t,t,f,f,f,2216
17,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DISEASE,Community water source quality testing & treatment,1,225,630,2,f,t,f,t,f,t,t,t,2308
17,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DISEASE,Community water source quality testing & treatment,1,310,630,2,f,t,f,t,f,t,t,t,2308
17,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DISEASE,Community water source quality testing & treatment,1,300,630,2,f,t,f,t,f,t,t,t,2308
5,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DISEASE,Latrine construction,40,40,10000,2,f,f,t,f,f,f,t,f,2302
5,BAY,BAYDHABA,HAWL WADAAG,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2401
3,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,400,3000,2,f,t,f,f,f,t,t,t,1801
3,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,300,2500,2,f,t,f,f,f,t,t,t,1801
3,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,400,3000,2,f,t,f,f,f,t,t,t,1801
3,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,400,3000,2,f,t,f,f,f,t,t,t,1801
15,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,f,f,
4,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Drill borehole(s) - includes covers; water yards; elevated tanks; pumps etc,1,464,150000,2,f,f,t,f,f,f,f,f,2603
17,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DISEASE,Community water source quality testing & treatment,1,512,630,2,f,t,f,t,f,t,t,t,2302
35,GEDO,DOOLOW,KAPASA,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2605
35,GEDO,DOOLOW,GEEDWEINE,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2605
35,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2302
35,BAY,BAYDHABA,HAWL WADAAG,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2401
35,BAY,BAYDHABA,BERDAALE,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2401
35,GEDO,BELET XAAWO,MALKARIYEY,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2603
35,GEDO,BELET XAAWO,HAROODI,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2603
35,GEDO,BELET XAAWO,GAWIIDO,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2603
35,GEDO,BELET XAAWO,DHAMASA,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2603
35,GEDO,BELET XAAWO,MALKARIYEY,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2603
35,GEDO,BELET XAAWO,HAROODI,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2603
15,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,DISEASE OUTBREAK,Cash grant for Income Generating Activities (IGA) ,1,50,35000,4,f,f,f,t,t,f,f,f,2212
17,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Establish and equip a water quality testing lab - Location TBC,1,0,4000,2,f,t,f,f,f,f,f,f,2205
17,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Community water source quality testing & treatment,1,464,3150,2,f,t,f,t,f,t,t,t,2205
17,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,Community water source quality testing & treatment,1,900,3150,2,f,t,f,t,f,t,t,t,2208
18,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Vocational Training for young people,120,120,124800,4,t,t,t,t,t,t,t,f,2205
18,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Vocational Training for young people,200,200,208000,4,t,t,t,t,t,t,t,f,2208
18,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Vocational skills training to women and youth for beauty salon and tailoring skills ,1,50,35000,4,f,f,f,t,t,t,f,f,2216
18,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Urban youth livelihood startup and market development,3,90,42069,4,f,f,f,f,t,t,t,t,2208
15,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,f,f,
15,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,Provide Micro finance grants to women(Revolving funds),2,14,12000,4,f,f,f,t,f,t,f,f,
20,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2308
35,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2308
42,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
42,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
42,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
42,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
42,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
43,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,Establish Early Warning System that leads to early action,1,310,653,1,f,t,f,t,f,t,t,f,2308
43,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,FLOOD,Establish Early Warning System that leads to early action,1,300,653,1,f,t,f,t,f,t,t,f,2308
43,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,Establish Early Warning System that leads to early action,1,450,653,1,f,t,f,t,f,t,t,f,2308
43,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,Establish Early Warning System that leads to early action,1,1500,653,1,f,t,f,t,f,t,t,f,2308
50,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2308
50,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2308
18,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,2201
50,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DISEASE,CHWs - Recruit; train; incentivise,3,3,5760,2,t,t,t,t,t,t,t,f,2308
50,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DISEASE,CHWs - Recruit; train; incentivise,5,5,9600,2,t,t,t,t,t,t,t,f,2308
5,GEDO,BELET XAAWO,HAROODI,CWW,DISEASE,Latrine construction CLTS,50,50,4000,2,f,f,f,f,t,f,t,f,2603
5,GEDO,BELET XAAWO,MALKARIYEY,CWW,DISEASE,Latrine construction,15,15,3975,2,f,f,f,f,t,f,t,f,2603
5,GEDO,BELET XAAWO,GAWIIDO,CWW,DISEASE,Latrine construction,30,30,7950,2,f,f,f,f,t,f,t,f,2603
5,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DISEASE,Latrine construction,70,70,18550,2,f,f,f,f,t,f,t,f,2603
5,GEDO,CEEL WAAQ,DHAMASA,CWW,DISEASE,Latrine construction,40,40,10600,2,f,f,f,f,t,f,t,f,2604
5,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DISEASE,Latrine construction CLTS,30,30,2400,2,f,f,f,f,t,f,t,f,2604
35,GEDO,BELET XAAWO,GAWIIDO,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2603
35,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2603
35,GEDO,CEEL WAAQ,MERI,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2604
18,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,2201
18,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,FLOOD,Technical vocational skill training (enterprise-based approach; IDP youth & poor HH),1,50,35000,4,f,f,f,t,t,t,f,f,2212
18,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,DISEASE OUTBREAK,IGA: business management training  ,1,50,8000,4,f,f,t,f,f,f,f,f,2212
18,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,IGA: business management training  ,1,50,8000,4,f,f,t,f,f,f,f,f,2216
18,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,
18,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,Technical vocational skill training (enterprise-based approach; IDP youth & poor HH),1,50,35000,4,f,f,f,t,t,t,f,f,
18,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,IGA: business management training  ,1,50,8000,4,f,f,t,f,f,f,f,f,
18,BANADIR,BANADIR,HALANE,NRC,FLOOD,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,
18,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,
18,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,
20,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2308
20,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,FLOOD,Rehabilitate canals (km),10,50,6000,4,f,f,t,f,t,f,t,f,2308
20,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2308
20,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2308
20,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2308
20,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2308
20,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,CROCKODILE ATTACK,Establish water catchments away from the river,1,113,14000,4,t,f,f,f,f,f,f,f,2308
25,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,2300,7500,4,f,f,f,f,f,f,t,f,2308
5,GEDO,CEEL WAAQ,MERI,CWW,DISEASE,Latrine construction CLTS,40,40,3200,2,f,f,f,f,t,f,t,f,2604
5,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DISEASE,Latrine construction,60,60,15900,2,f,f,f,f,t,f,t,f,2604
5,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Consruction of family share latrines,20 Latrines,80,6000,2,f,f,f,f,f,f,f,t,1803
5,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Consruction of family share latrines,20 Latrines,80,6000,2,f,f,f,f,f,f,f,t,1803
5,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Consruction of family share latrines,20 Latrines,120,6000,2,f,f,f,f,f,f,f,t,1803
6,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Community Sensitization; planning and training,6,600,12177,1,f,f,f,t,t,t,t,t,1803
6,MUDUG,JARIIBAN,HINGOD,IRC,DROUGHT,Community Sensitization; planning and training,6,400,12177,1,f,f,f,t,t,t,t,t,1804
6,MUDUG,JARIIBAN,BUDBUD,IRC,DROUGHT,Community Sensitization; planning and training,6,600,12177,1,f,f,f,t,t,t,t,t,1804
8,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,701,1000,4,f,f,t,t,t,t,t,t,2302
21,GEDO,DOOLOW,KAPASA,NRC,CONFLICT,Construction of Community Centre/market,1,2500,50000,4,f,f,t,t,f,f,f,f,2605
35,GEDO,DOOLOW,SUR-GUDUD,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2605
35,GEDO,DOOLOW,QANSAXLEY,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2605
35,GEDO,DOOLOW,KAPASA,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2605
35,GEDO,DOOLOW,GEEDWEINE,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2605
37,GEDO,DOOLOW,SUR-GUDUD,NRC,HAZARDS,Provision of donkey and  cart pulls ,10,10,10000,4,f,f,t,f,f,f,f,f,2605
37,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Provision of donkey and  cart pulls ,30,30,30000,4,f,t,f,f,f,t,t,f,2605
35,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Distribution of NFI and Hygeien kits,300 kits,300,22800,3,f,f,t,f,f,f,f,f,1801
0,SHABELLE HOOSE,QORYOOLEY,MADULOW,CWW,,NO DATA - THIS VILLAGE HAS BEEN INACCESSIBLE,,0,0,0,f,f,f,f,f,f,f,f,2305
0,SHABELLE HOOSE,QORYOOLEY,DOONBURALE,CWW,,NO DATA - THIS VILLAGE HAS BEEN INACCESSIBLE,,0,0,0,f,f,f,f,f,f,f,f,2305
37,GEDO,LUUQ,JAZEERA (ALL),NRC,HAZARDS,Provision of donkey and  cart pulls ,30,30,30000,4,f,f,t,f,f,t,f,t,2606
37,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,HAZARDS,Provision of donkey and  cart pulls ,10,10,10000,4,f,f,t,f,f,f,f,f,2606
33,HIRAAN,BELET WEYNE,GARASH,CESVI,FLOOD,Water pumps for irrigation (4),4 water pumps,80,6000,4,f,f,t,t,f,f,f,f,2001
33,HIRAAN,BELET WEYNE,DHAYWABAR,CESVI,FLOOD,Water pumps for irrigation (4),4 water pumps,40,6000,4,f,f,t,t,f,f,f,f,2001
33,HIRAAN,BELET WEYNE,SHINILE ,CESVI,FLOOD,Seeds and other farm inputs,110 Farm tool kits,110,11000,4,f,f,t,t,f,f,f,f,2001
33,HIRAAN,BELET WEYNE,QOYDO,CESVI,FLOOD,Seeds and other farm inputs,150 farm tool kits,150,11750,4,f,f,t,t,f,f,f,f,2001
40,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201,4,f,f,f,f,t,t,t,t,1803
21,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Re/Construction of Community Meeting Places,1,250,6150,4,f,f,f,t,f,f,f,f,2208
22,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Construction of Incinerators (2),2,8000,3000,4,f,f,f,t,f,f,f,f,2216
23,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Transitional Shelters Construction,1,150,105001,3,f,f,f,t,t,f,f,f,2216
23,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Provision of  shelter packages to conflict and drought affected HHs,1,200,12000,3,f,f,t,f,t,f,f,f,2216
21,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,Rehabilitation of Sigale Market place ,1,100,18000,4,f,f,f,t,t,f,f,f,
25,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,150,7500,4,f,f,f,f,f,f,t,f,2308
25,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,225,7500,4,f,f,f,f,f,f,t,f,2308
30,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Develop Solid Waste Management system,1,395,7500,2,f,f,f,f,f,t,f,f,2205
25,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,310,7500,4,f,f,f,f,f,f,t,f,2308
25,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,300,7500,4,f,f,f,f,f,f,t,f,2308
25,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,450,7500,4,f,f,f,f,f,f,t,f,2308
25,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,1500,7500,4,f,f,f,f,t,f,f,f,2308
29,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,2300,540,2,f,f,t,f,f,f,t,t,2308
