Name of Partner,Amendment,Sector/unit of LOA,LoA #,Activity,Detailed Info,Project Code,Duration-from,Duration-To,Territory,Region,District,No HH/beneficiaries,Total LOA amount,Original Amount,Amended amount,CFW/voucher amount,1st instalment $,1st instalment status,2nd instalment $,2nd instalment status,3rd instalment $,3rd instalment status,4th instalment $,4th instalment status,Total all instalments,CPF Output 1,CPF Output 2,CPF Output 3,CPF Output 4,Reports due midterm 1,Report Status  midterm 1,Reports due midterm 2,Report Status  midterm 2,Report final,Report final status,Final Fin,Final report finished status,Days worked on
"Min Agriculture, Somaliland",Amendment 1,SWALIM,6,Capacity Development on Climate data collection,installment 1350 per month,,1-Feb-14,31-Jan-15,Somaliland,Somaliland,n/a,,"15,900.00","14,400.00","1,500.00",,,,,,,,,,,,,,,,,,,,,,,
WARDI,Primary,SWALIM,7,Hydro-meteorological Data collection_SWALIM,9 stations rain gauge,GCP/SOM/050/MUL,1-Feb-14,31-Jan-15,South Central,SC,n/a,,"6,900.00",,,,"2,070.00",,"3,450.00",,"1,380.00",,,,"6,900.00",,,,,,,,,,,,,
Puntland Min of Public Work and Transport,Primary,SWALIM,16,Capacity Development ,,GCP/SOM/050/MUL,1-Feb-14,31-Jan-15,Puntland,Puntland,n/a,,"9,600.00",,,,,,,,,,,,0,,,,,,,,,,,,,
JDO,Primary,Livestock/Emergency,12,Restocking  (distribution),7296 animals for 912 retuness,,3-Feb-14,31-Mar-14,South Central,Bay ,Baidoa,912 HHs,"14,880.00",,,,"4,464.00",paid,"10,416.00",9-Jun-14,,,,,"14,880.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,11,Restocking  (reception & Quarantine  ),7296 animals for 912 retuness,,15-Feb-14,15-Apr-14,South Central,Bay,Baidao,7296 animals ,"45,575.00",,,,"13,673.00",12-Mar-14,"31,902.00",,,,,,"45,575.00",,,,,,,,,,,,,
WOCCA,Primary,Agric,17,Supervision of construction of produce stores nad irrigation intake gates,3 stores and 50 canal intake gates,,15-Feb-14,15-Jun-14,South Central,Middle Shabelle,Jowhar,n/a,"69,006.00",,,,"20,702.00",,"34,503.00",,"13,801.00",,,,"69,006.00",,,,,,,,,,,,,
CERELPA,Primary,Livestock/Emergency,25,Restocking  (reception & Quarantine  ),6000 goats for 750 retuness,,15-Feb-14,15-Apr-14,South Central,Hiraan,Belet Wyne,"6,000 animals","40,780.00",,,,"12,234.00",14-Mar-14,"28,546.00",,,,,,"40,780.00",,,,,,,,,,,,,
GEELO,Primary,Livestock/Emergency,26,Restocking  (distribution),6000 goats for 750 retuness,,17-Feb-14,20-Jun-14,South Central,Hiraan,Belet Wyne,750 HHs,"21,520.00",,,,"6,456.00",,"15,064.00",,,,,,"21,520.00",,,,,,,,,,,,,
BRADO,Primary,Agric,20,Inputs distribution (Gu 2014),"All inputs by Voucher: sorguhm 30 kg, cowpea 20 kg, DAP 300 kg.  Training Materials",,21-Feb-14,15-Jul-14,South Central,Bay,Baidoa,5000,"50,100.00",,,,"15,030.00",13-Mar-14,"25,050.00",,"10,020.00",,,,"50,100.00",,,,,,,,,,,,,
ARDO,Primary,Agric,21,Inputs distribution (Gu 2014),"All inputs by Voucher: sorguhm 30 kg (1110 HHs), cowpea 20 kg (1110 HHs), DAP 300 kg (2175 HHs).  Training Materials for 2175 HHs",,21-Feb-14,15-Jul-14,South Central,Bay,Baidoa,2175 (only 1110  HHs for seed),"44,546.00",,,,"13,363.00",13-Mar-14,"22,273.00",,"8,910.00",,,,"44,546.00",,,,,,,,,,,,,
Municipality of Hargeisa,Primary,Livestock/D,8,Livestock Value Chains and Capcity buliding support,"PPP, reloaction/training of 130 meta traders",SEED II,24-Feb-14,31-May-14,Somaliland,Gabiley,Hargeisa,130,"17,882.00",,,,"5,365.00",,"7,152.00",4th dec 14,"5,365.00",,,,"17,882.00",,,,,,,,,,,,,
Save the Children,Primary,CFW III,28,CFW,"Same HHS as Phase IIb. USD 5/day, Formen Usd 6/day Transport USD 7 or 20/trip-2 cycles, no tools, Biometric with MV, ",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,Puntland,Puntland,"Qardho , Iskushuban","1,113","65,881.00",,,"198,062.00","19,764.00",13-Mar-14,"32,941.00",23-Apr-14,"13,176.00",,,,"65,881.00",,,,,,,,,,,,,
JCC,Primary,CFW III,29,CFW,"Same HHS as Phase IIb. USD 4/day, Formen Usd 5/day Transport USD 7/trip-2 cycles, no tools",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,South Central,Bakool,"Ceel Barde, Rub dhuuure","2,712","50,560.00",,,"365,448.00","15,168.00",13-Mar-14,"25,280.00",23-Apr-14,"10,112.00",26-Aug-14,,,"50,560.00",,,,,,,,,,,,,
WARDI,Primary,CFW III,30,CFW,"Same HHS as Phase IIb. USD 4/day, Formen Usd 5/day Transport USD 7/trip-2 cycles, no tools",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,South Central,Bakool,Tayeeglow,"3,816","51,440.00",,,"514,194.00","15,432.00",13-Mar-14,"25,720.00",23-Apr-14,"10,288.00",5-Sep-14,,,"51,440.00",,,,,,,,,,,,,
SHARDO (Cancelled),Primary,CFW III,31,CFW,"Same HHS as Phase IIb. USD 4/day, Formen Usd 5/day Transport USD 7/trip-2 cycles, no tools",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,South Central,Middle Jubba,Buale,680,"39,990.00",,,"91,630.00","11,970.00",,"19,950.00",,"7,980.00",,,,"39,900.00",,,,,,,,,,,,,
VSF Germany,Primary,CFW III,32,CFW,"NEW HHS. USD 5/day, Formen Usd 6/day Transport USD 7/trip-2 cycles, no tools, Biometric for registration ",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,Puntland,"Mudug, Nugal","Jariiban, Burtinle",1200,"83,567.00",,,"215,700.00","25,070.00",13-Mar-14,"41,784.00",23-Apr-14,"16,713.00",26-Aug-14,,,"83,567.00",,,,,,,,,,,,,
APD,Primary,CFW III,33,CFW,"Same HHS as Phase IIb. USD 5/day, Formen Usd 6/day Transport USD 7/trip-2 cycles, no tools, Biometric with MV, ",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,Puntland,Sanaag,Laasqoray/Badhan,"2,037","48,603.00",,,"335,598.00","14,581.00",13-Mar-14,"24,301.00",23-Apr-14,"9,721.00",5-Sep-14,,,"48,603.00",,,,,,,,,,,,,
SVO,Primary,CFW III,34,CFW,"Same HHS as Phase IIb. USD 5/day, Formen Usd 6/day Transport USD 7/trip-2 cycles, no tools, Biometric with MV, ",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,Puntland,Sool,Taleex,646,"41,100.00",,,"106,964.00","12,330.00",13-Mar-14,"20,550.00",23-Apr-14,"8,220.00",26-Aug-14,,, ,,,,,,,,,,,,,
BRADO,Primary,CFW III,35,CFW,"Same HHS as Phase IIb. USD 5/day, Formen Usd 6/day Transport USD 7/trip-2 cycles, no tools, Biometric with MV, ",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,South Central,Galgadud,Dhusamared,"1,950","48,300.00",,,"321,270.00","14,490.00",13-Mar-14,"24,150.00",23-Apr-14,"9,660.00",3-Sep-14,,,"48,300.00",,,,,,,,,,,,,
GREDO,Primary,CFW III,36,CFW,"Same HHS as Phase IIb. USD 4/day, Formen Usd 5/day Transport USD 7/trip-2 cycles, no tools",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,South Central,Bay,Baidoa,2000,"42,100.00",,,"269,500.00","12,630.00",13-Mar-14,"21,050.00",23-Apr-14,"8,420.00",,,,"42,100.00",,,,,,,,,,,,,
JDO,Primary,CFW III,37,CFW,"Same HHS as Phase IIb. USD 4/day, Formen Usd 5/day Transport USD 7/trip-2 cycles, no tools",OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,South Central,Lower Juba,Afmadow,893,"42,457.00",,,"120,322.00","12,737.00",13-Mar-14,"21,229.00",23-Apr-14,"8,491.00",26-Aug-14,,,"42,457.00",,,,,,,,,,,,,
WVI,Primary,CFW III,38,CFW,,OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,Somaliland,Togdhere,Burco,700,"64,153.00",,,"115,340.00","19,246.00",8-May-14,"32,077.00",8-May-14,"12,830.00",,,,"64,153.00",,,,,,,,,,,,,
WVI,Amendment 1,CFW III,38,CFW,cost reduction,OSRO/SOM/124/USA,24-Feb-14,30-Jun-14,Somaliland,Togdhere,Burco,700,"61,471.00","64,153.00","-2,682.00",,,,,,"5,912.00",,,,,,,,,,,,,,,,,
MOL Somaliland,Primary,Livestock/D,10,Livestock Value Chains and Capcity buliding support,"training of Hides/skins, meat traders slaughter houses",SEED II,27-Feb-14,30-Jul-14,Somaliland,3 regions,"Hargeisa, Burco, Borama",850 trainess,"106,858.00",,,,"32,057.00",14-Mar-14,"53,429.00",25-Aug-14,"21,372.00",,,,"106,858.00",,,,,,,,,,,,,
MOL Somaliland,Amendment 1,Livestock/D,10,Livestock Value Chains and Capcity buliding support,no cost extension,SEED II,27-Feb-14,30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Primary,Agric,24,Inputs distribution (Gu 2014),"All inputs by Voucher: sorguhm 15 kg, cowpea 10 kg, DAP 100 kg.  Training Materials",,27-Feb-14,25-Jul-14,South Central,Hiraan,Belet Wyne,3600,"48,632.00",,,,"14,590.00",13-Mar-14,"24,316.00",paid,"9,726.00",12-Oct-14,,,"48,632.00",,,,,,,,,,,,,
PENHA,Primary,Livestock/D,4,Fodder and Honey Bee production,"Fodder (50 HHs for reseeding, 50 HHs for Fodder cultivation) and Honey Bee production (50 HHs)",SEED II,1-Mar-14,31-May-14,Somaliland,Awdal,Borama,150,"31,065.00",,,,"9,320.00",14-Mar-14,"15,532.00",,"6,213.00",,,,"31,065.00",,,,,,,,,,,,,
PENHA,Amendment 1,Livestock/D,4,Fodder and Honey Bee production,no cost extension,SEED II,1-Mar-14,31-Oct-14,Somaliland,Awdal,Borama,150,"31,065.00",,,,"9,320.00",14-Mar-14,"15,532.00",,"6,213.00",,,,"31,065.00",,,,,,,,,,,,,
ADA,Primary,agric,19,Inputs distribution (Gu 2014),"All inputs by Voucher: sorguhm 15 kg, cowpea 10 kg, maize 20kg, urea 100-220 kg, DAP 100 kg.  Irrigation for riverine HHs Training Materials Riverine 5200 hhs, rainfed 3700 hhs.",,1-Mar-14,31-Aug-14,South Central,Gedo,"Dollow, Luuq, Belet waxo",8900,"152,302.00",,,,"45,690.00",13-Mar-14,"76,151.00",,"30,461.00",,,,"152,302.00",,,,,,,,,,,,,
ADA,Amendment 1,agric,19,Inputs distribution (Gu 2014),add PDA at no extra cost ,,1-Mar-14,31-Aug-14,South Central,Gedo,"Dollow, Luuq, Belet waxo",8900,"152,302.00",,,,"45,690.00",,"76,151.00",,"30,461.00",,,,"152,302.00",,,,,,,,,,,,,
Municipality of Burco,Primary,Livestock/D,9,Livestock Value Chains and Capcity buliding support,"PPP, reloaction/training of 130 meta traders",,3-Mar-14,31-Jul-14,Somaliland,Togdhere,Burco,130,"17,882.00",,,,"5,365.00",20-Mar-14,"7,152.00",,"5,365.00",,,,"17,882.00",,,,,,,,,,,,,
Municipality of Burco,Amendment 1,Livestock/D,9,Livestock Value Chains and Capcity buliding support,no cost extension,,3-Mar-14,30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCA,Primary,Agric,27,"Silos Distribution, Training of Artisan & Production of Silos","Training 20 Artisan, Production of Silo 1250 silos ",,20-Mar-14,24-Jun-14,South Central,Middle Shabelle,Jowhar,1250,"39,585.00",,,,"11,876.00",22-Apr-14,"19,792.00",16-Sep-14,"7,917.00",,,,"39,585.00",,,,,,,,,,,,,
Blacksmith Institute,Primary,Agric,41,Ahaya Valley DLCO Site Contaminated Land Assessment and Risk Management,,,4-Apr-14,3-Oct-14,,Somaliland ,West Galbeed,n/a,"165,475.00",,,,"49,643.00",paid,"41,369.00",piad,"41,368.00",,"33,095.00",,"165,475.00",,,,,,,,,,,,,
Puntland Ministry of Agriculture and Irrigation,Primary,SWALIM,40,Land use and soil fertility data collection ,,GCP/SOM/050/MUL,1-May-14,31-Aug-14,Puntland,Puntland,n/a,,"16,780.00",,"16,780.00",,"5,034.00",,"5,034.00",,"6,712.00",,,,"16,780.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,53,Restocking  (reception & Quarantine  ),1400 female productive goats,,10-May-14,10-Jul-14,South Central,Bay,Baidoa,1400 goats,"23,760.00",,,,"7,128.00",9-Jun-14,"16,632.00",17-Jun-14,,,,,"23,760.00",,,,,,,,,,,,,
FERO,Primary,Livestock/Emergency,52,Restocking  (distribution),1400 female productive goats,,15-May-14,,South Central,Bay,Baidoa,175,"16,880.00",,,,"5,064.00",9-Jun-14,"11,816.00",,,,,,"16,880.00",,,,,,,,,,,,,
EPHCO,Primary,M&E,57,Baseline Survey Puntland Resillence programme ,800 HHs,,18-May-14,11-Jul-14,Puntland,Bari,Iskushuban and Bossaso,800,"77,700.00",,,,"23,310.00",18-May-14,"19,425.00",paid,"19,425.00",paid,"15,540.00",18-Aug-14,"77,700.00",,,,,,,,,,,,,
MOLAH,Primary,Livestock/D,51,Livestock Value Chains and Capcity buliding support in Galkayo Municipality ,"5 forum, 250 surveillance forms, 170 health inspection, training of 50 meat retailers & 30 abattoir workers",,3-Jun-14,30-Oct-14,Puntland,Mudug,Galkayo,50 meat retailers & 30 abattoir workers,"35,000.00",,,,"10,500.00",11-Aug-14,"17,500.00",3rd Dec 14,"7,000.00",,,,"35,000.00",,,,,,,,,,,,,
Blacksmith Institute,Amendment 1,Agric,41,Ahaya Valley DLCO Site Contaminated Land Assessment and Risk Management,safeguarding the decaying drums containing Malathion through repackaging ,,15-Jun-14,3-Oct-14,,Somaliland ,West Galbeed,n/a,"171,475.00","165,475.00","6,000.00",,,,"44,369.00",,"44,368.00",5-Sep-14,"33,095.00",,"171,475.00",,,,,,,,,,,,,
KAALO,Primary,Livestock/Emergency,54,Restocking  (distribution),12500 female productive goats,,15-Jun-14,31-Aug-14,Puntland,"Nugal, Bari","Eyl 190HH, Dangorayo 210 HH, Bander Bayla 100 HH",500,"26,410.00",,,,"7,923.00",11-Aug-14,"18,487.00",,,,,,"26,410.00",,,,,,,,,,,,,
KAALO,Amendment 1,Livestock/Emergency,54,Restocking  (distribution),no cost extension,,15-Jun-14,30-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAL,Primary,Agric,60,TOT of FFS Concepts & methodologies and GAPs,"30 trained ( 26 lead farmers and 2 ASAL , 2 MOA staff), 30 VEG, 6 FODDAR TRIALS , 12 field days , 26 hand tracktors and 2 pick-ups",,15-Jun-14,14-Feb-15,Puntland,Bari,Bosaso,13 Fos,"50,200.00",,,,"15,060.00",,"25,100.00",,"10,040.00",,,,"50,200.00",,,,,,,,,,,,,
IGAD Sheikh Technical Veterinary School (ISTVS),Primary,Livestock/D,47,Technical training on Livestock Related Courses at IGAD Sheikh Technical Veterinary School (ISTVS),2 students for a three year Bachelors course in Dry-land Economics and Agro-ecosystem Management; 2 students for a three year Higher Diploma course in Livestock health Science,,20-Jun-14,31-Aug-17,South Central,n/a,n/a,4,"55,160.00",,,,"16,548.00",,"38,612.00",,,,,,"55,160.00",,,,,,,,,,,,,
MOLAH,Primary,Livestock/Emergency,55,Restocking (Supervision) ,500 HHs,,20-Jun-14,20-Sep-14,Puntland,"Nugal, Bari","Eyl 190HH, Dangorayo 210 HH, Bander Bayla 100 HH",500,"18,360.00",,,,"5,508.00",11-Aug-14,"9,180.00",Nov 27 14,"3,672.00",,,,"18,360.00",,,,,,,,,,,,,
PULPA,Primary,Livestock/Emergency,56,Restocking  (reception & Quarantine  ),12500 female productive goats,,20-Jun-14,20-Sep-14,Puntland,"Nugal, Bari","Eyl 190HH, Dangorayo 210 HH, Bander Bayla 100 HH",12500,"69,790.00",,,,"20,937.00",11-Aug-14,"48,853.00",,,,,,"69,790.00",,,,,,,,,,,,,
CAFDARO,Primary,FSNAU,58,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,23-Jun-14,22-Aug-14,South Central,Gedo,Gedo all ,Gedo,"32,970.00",,,,"9,891.00",,"16,485.00",,"6,594.00",12/16/14,,,"32,970.00",,,,,,,,,,,,,
Southern Aid,Primary,FSNAU,62,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,23-Jun-14,22-Aug-14,South Central,M&L Juba,M&L Juba all,M&L Juba,"29,380.00",,,,"8,814.00",,"14,690.00",,"5,876.00",,,,"29,380.00",,,,,,,,,,,,,
EPHCO,Primary,FSNAU,59,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,26-Jun-14,20-Sep-14,South Central,Bakool,Bakool,Bakool ,"18,320.00",,,,"5,496.00",,"9,160.00",,"3,664.00",,,,"18,320.00",,,,,,,,,,,,,
SOADO,Primary,agric,48,Distribition of ADS (animal drawn seeders),"167 ADS, 167 trained ",,25-Jul-14,24-Oct-14,South Central,Hiraan,Belet Wyne,1000 HHs in West Villages,"43,020.00",,,,"12,906.00",14-Aug-14,"21,510.00",,"8,604.00",,,,"43,020.00",,,,,,,,,,,,,
GEELO,Primary,Agric,49,Distribition of ADS (animal drawn seeders),"170 ADS, 170 HHs trained ",,25-Jul-14,24-Oct-14,South Central,Hiraan,Belet Wyne,1200 HHs in East Villages,"44,120.00",,,,"13,236.00",,"22,060.00",,"8,824.00",,,,"44,120.00",,,,,,,,,,,,,
Fisheries Education and Training Agency (FETA),Primary,Fisheries,61,Training in Fisheries resource mangement for Somali fisheries officers ,Residential training at FETA Tanzania,,28-Jul-14,30-Dec-14,South Central,n/a,n/a,"9 staff (8 MOF, 1 FAO)","34,990.00",,,,"8,747.00",,"17,496.00",,"8,747.00",,,,"34,990.00",,,,,,,,,,,,,
"MOA, Fed GOV",Primary,Agric,64,Strategy Planning and Capacity development ,Strategy Planning for 2014-2017,,1-Aug-14,30-Nov-14,South Central,n/a,n/a,n/a,"111,975.00",,,,"50,000.00",,"40,000.00",,"21,975.00",,,,"111,975.00",,,,,,,,,,,,,
Puntland Highway Authority (PHA),Primary,Fisheries,71,Supervision of road rehabilitation (9.3 km) and sand flattening ,,,1-Aug-14,31-Dec-14,Puntland,,Eyl,n/a,21300,,,,"6,390.00",,"10,650.00",,"4,260.00",,,,"21,300.00",,,,,,,,,,,,,
MOA,Primary,Agric,50,TOT of FFS Concepts & methodologies and GAPs,"12 extension staff (for 12 months), 62 lead farmers trained, 27 new and 35 old ffs set-up, 6450 mano seedlings, 1875 date palms seedlings",,15-Aug-14,14-Aug-15,Somaliland,Somaliland ,Somaliland,62 FFS,"193,294.00",,,,"57,988.00",,"48,324.00",,"48,324.00",,"38,658.00",,"193,294.00",,,,,,,,,,,,,
CERELPA,Primary,Livestock/Emergency,65,PPR & SGP Vaccination & treatment,2000 pre-vaccination serum collection ,,15-Aug-14,15-Nov-14,South Central,"Hiraan, M Shabelle, S Mudug, Gagalduud ",All districts,"3,850,000 animals ","817,400.00",,,,"245,220.00",12-Nov-14,"408,700.00",,"163,480.00",,,,"817,400.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,66,PPR & SGP Vaccination & treatment,2000 pre-vaccination serum collection ,,15-Aug-14,15-Nov-14,South Central,"Gedo, Bay, Bakool, Lshabelle, M&L Juba",All districts,"3,850,000 animals ","820,400.00",,,,"246,120.00",12-Nov-14,"410,200.00",,"164,080.00",,,,"820,400.00",,,,,,,,,,,,,
MOL Puntland,Primary,Livestock/Emergency,67,PPR & SGP Vaccination & treatment,2000 pre-vaccination serum collection ,,15-Aug-14,15-Nov-14,Puntland,Puntland,All regions,"2,000,000 Vaccines 760,000 treatment ","497,260.00",,,,"149,178.00",,"248,630.00",,"99,452.00",,,,"497,260.00",,,,,,,,,,,,,
MOL Somaliland,Primary,Livestock/Emergency,68,PPR & SGP Vaccination & treatment,2000 pre-vaccination serum collection ,,15-Aug-14,15-Nov-14,Somaliland,Somaliland,All regions,"2,000,000 Vaccines 600,000 treatment ","449,260.00",,,,"134,778.00",,"224,630.00",,"89,852.00",,,,"449,260.00",,,,,,,,,,,,,
BENALPA,Primary,Livestock/Emergency,70,PPR & SGP Vaccination & treatment,75  pre-vaccination serum collection ,,16-Aug-14,15-Oct-14,South Central,Benadir,All districts,"300,000 Vaccines 250,000 treatment ","160,134.00",,,,"48,040.00",17TH Nov 2014,"80,067.00",,"32,027.00",,,,"160,134.00",,,,,,,,,,,,,
Farm Concern International,Primary,Agric,72,"Implementation of Rural commercialization, oRagnaiztioanl Marketing capacity development ","10 Fos supported, 20 lead farmers & 4 MOA staff trained, 10 Business plan ",,1-Sep-14,31-Aug-15,Somaliland,All,,10 Fos,144580,,,,"43,374.00",,"36,145.00",,"36,145.00",,"28,916.00",,"144,580.00",,,,,,,,,,,,,
CED,Primary,Agric,74,Inputs distribution (Deyr 2014),"seelcted from prevoius beneficiaries. Maize 20kg, cowpea 10kg, urea 100kg, DAP 150kg. All voucher. Train 10 lead farmers per village. Biometric registration",,1-Sep-14,28-Feb-15,South Central,Middle Shabelle,Jowhar,2500,"51,450",,,,"15,435.00",,"25,725.00",,"10,290.00",,,,"51,450.00",,,,,,,,,,,,,
APD,Primary,Agric,75,Inputs distribution (Deyr 2014),"3600 Rainfed from prevoius beneficiaries,  Sorghum 20kg, cowpea 10kg, DAP 100kg. All voucher. 456 new returnees Rainfed,  Sorghum 30kg, cowpea 20kg, DAP 200kg. All voucher. 900 Riverine new,  Maize 20kg, cowpea 10kg, urea 100kg, DAP 150kg. Irrigation 3 vouchers, All vouchers+. Train 10 lead farmers per village. Biometric registration",,1-Sep-14,28-Feb-15,South Central,Hiraan,Belet Wyne,4956,"64,647",,,,"20,294.00",,"33,824.00",,"13,529.00",,,,"67,647.00",,,,,,,,,,,,,
RAAS,Primary,Agric,78,Inputs distribution (Deyr 2014),"1500 New Rainfed, Sorghum 15kg, cowpea 10kg, DAP 150kg. All vouchers. Train 10 lead farmers per village. Biometric registration",,1-Sep-14,31-Jan-15,South Central,Gedo,Garbahaarey,1500,"41,540",,,,"12,462.00",,"20,770.00",,"8,308.00",,,,"41,540.00",,,,,,,,,,,,,
BENALPA,Primary,Livestock/Emergency,80,Animal treatment ,500000 animals ,,1-Sep-14,15-Nov-14,,Benadir,All districts,500000 animals,"225,850",,,,"67,755.00",22-Sep-14,"112,925.00",,"45,170.00",,,,"225,850.00",,,,,,,,,,,,,
CERELPA,Primary,Livestock/Emergency,81,Animal treatment ,1.5 M animals ,,1-Sep-14,15-Nov-14,South Central,"Hiraan, M Shabelle, S Mudug, Gagalduud ",All districts,"1,500,000 animals","834,200",,,,"250,260.00",,"417,100.00",,"166,840.00",,,,"834,200.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,82,Animal treatment ,1.5 M animals ,,1-Sep-14,15-Nov-14,South Central,"Gedo, Bay, Bakool, Lshabelle, M&L Juba",All districts,"1,500,000 animals","834,200",,,,"250,260.00",22-Sep-14,"417,100.00",,"166,840.00",,,,"834,200.00",,,,,,,,,,,,,
"Ministry of Fisheries and Marine Resources, Puntland",Primary,Fisheries,63,Fleet Registration & Fishermen census ,"8 district, 9 Fish Association",,15-Sep-14,31-Dec-14,Puntland,all coastal regions,8 districts ,n/a,"36,794.00",,,,"10,000.00",,"15,000.00",,"11,794.00",,,,"36,794.00",,,,,,,,,,,,,
BRADO,Primary,Agric,76,Inputs distribution (Deyr 2014),"For Baidoa/Bardale 2000 Rainfed new. Sorghum 15kg, cowpea 10kg, DAP 150kg.  For Afgoye/Awdeghle 3050 Rainfed new, Sorghum 15kg, cowpea 10kg, DAP 100kg. All voucher. Train lead farmers per village. Biometric registrationAll voucher. Train lead farmers per village. Biometric registration ",,15-Sep-14,15-Jan-15,South Central,"Bay, Lower Shabelle","Baidoa/Bardale, Afogoye/A",5050,"70,568",,,,"21,170.00",,"35,284.00",,"14,114.00",,,,"70,568.00",,,,,,,,,,,,,
NAPAD,Primary,Agric,77,Inputs distribution (Deyr 2014)," from prevoius beneficiaries 2700 Rainfed,  Sorghum 15kg, cowpea 10kg, DAP 100kg. All voucher. 1700 Riverine, Maize 20kg, cowpea 10kg, urea 100kg, DAP 100kg. Irrigation 3 vouchers, All vouchers+. Train 10 lead farmers per village. Biometric registration",,15-Sep-14,15-Mar-15,South Central,Gedo,Belet Xaawo,4400,"61,937",,,,"18,581.00",,"30,969.00",,"12,387.00",,,,"61,937.00",,,,,,,,,,,,,
JDO,Primary,CFW IV,83,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained, no tools, PDA",,15-Sep-14,14-Feb-15,South Central,Lower Juba ,Afmadow,1393,"52,737",0,,"288,638.00","15,821.00",16-Oct-14,"26,369.00",,"10,547.00",,,,"52,737.00",,,,,,,,,,,,,
,Primary,,,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained, no tools, PDA",,15-Sep-14,14-Feb-15,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
GREDO,Primary,CFW IV,85,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained, no tools, PDA",,15-Sep-14,14-Feb-15,South Central,Bay,Baidoa,2000,"51,600",0,,"414,400.00","15,480.00",16-Oct-14,"25,800.00",,"10,320.00",,,,"51,600.00",,,,,,,,,,,,,
SHARDO,Primary,CFW IV,86,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days (1869 hhs) and 66 days for 2000 HHs. and USD 7/cycle transport 4-week cycle. 10 % trained,  tools, PDA",,15-Sep-14,14-Feb-15,South Central,Middle Shabelle,Jowhar,3869,"95,114","11,735.00",,"946,570.00","28,534.00",16-Oct-14,"47,557.00",,"19,023.00",,,,"95,114.00",,,,,,,,,,,,,
JCC,Primary,CFW IV,87,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained, no tools, PDA",,15-Sep-14,14-Feb-15,South Central,Bakool,"RabDhuure, Ceel Barde","RabDhuure 1803,      Ceel Barde 909","68,170",0,,"561,936.00","20,451.00",16-Oct-14,"34,085.00",,"13,634.00",,,,"68,170.00",,,,,,,,,,,,,
NAPAD,Primary,CFW IV,88,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained, no tools, PDA",,15-Sep-14,14-Feb-15,South Central,GEDO,"Dollow, Luuq, Belet Hawo, El Waq","Dollow  1189,           Luuq  1789,                 Belet Hawo  1289,            El Waq 1089","153,541",0,,"1,254,734.00","46,062.00",16-Oct-14,"76,771.00",,"30,708.00",,,,"153,541.00",,,,,,,,,,,,,
APD,Primary,CFW IV,92,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 45 days (Lasqoray) and 48 days (Isskushuban) and USD 7/cycle transport 4-week cycle. 10 % trained, Tool",,15-Sep-14,14-Feb-15,Puntland,Sanaag,"Lasqoray, Ishkushaban","Lasqoray 2000,     Ishkushaban 1113","129,402","35,945.00",,"764,296.00","38,821.00",16-Oct-14,"64,701.00",,"25,880.00",,,,"129,402.00",,,,,,,,,,,,,
WVI,Primary,CFW IV,93,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 38 days  and USD 7/cycle transport 4-week cycle. 10 % trained, Tool",,15-Sep-14,14-Feb-15,Somaliland,Togdheer,Burco,700,"99,367","13,670.00",,"143,484.00","29,810.00",16-Oct-14,"49,684.00",,"19,873.00",27th Nov 14,,,"99,367.00",,,,,,,,,,,,,
